Date,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime
2022-04-22,0.9141080791798217,6.363268865782455e-38,0.08589192072759742,9.234869560813416e-11,0
2022-04-25,0.8039860399680707,1.7169320934927249e-40,0.19601395996809243,6.389553193295343e-11,0
2022-04-26,0.009087863009195958,4.162497481952633e-67,0.9909121369913424,4.2443786825489775e-21,2
2022-04-27,0.0012303447723988024,1.3213712753472641e-68,0.9987696552281019,7.443428292066997e-21,2
2022-04-28,0.00010834917331119263,4.714483398545721e-68,0.9998916508269289,1.8719756851300261e-22,2
2022-04-29,4.9188871208971725e-06,8.565903845837558e-80,0.9999950811136856,7.248793453710154e-25,2
2022-05-02,0.00011929135986775878,3.601933479537929e-76,0.9998807086393601,5.440623073753964e-26,2
2022-05-03,0.0024661270904995872,1.2095294616586052e-63,0.9975338729097023,3.330142132433708e-18,2
2022-05-04,0.0023058199272541313,1.594023427273236e-49,0.9976941800721134,1.444676196461316e-14,2
2022-05-05,0.0003053086314926698,1.9184428962837707e-61,0.9996946913679673,1.1297116546815344e-18,2
2022-05-06,0.0008412263820152349,7.285816216680192e-59,0.9991587736181116,1.8142562344220458e-18,2
2022-05-09,2.144467153375327e-06,1.093126261274984e-81,0.9999978555320269,3.4880595672820624e-27,2
2022-05-10,2.4541702249246714e-05,1.994309653869301e-81,0.9999754582978501,8.068463960023082e-28,2
2022-05-11,0.00045987605806600216,2.5268139229395772e-77,0.9995401239423783,5.201036586186381e-23,2
2022-05-12,0.0067648278566114824,8.639643810887183e-70,0.9932351721440366,2.839279087676353e-21,2
2022-05-13,0.05346961148481345,2.4038392033929384e-62,0.9465303885144664,2.3021415585814044e-18,2
2022-05-16,0.2686912832112493,2.5259514461038145e-48,0.7313087167829769,5.862810292449345e-12,2
2022-05-17,0.29135009590142885,6.630836050629351e-42,0.7086499040907716,7.277900596880784e-12,2
2022-05-18,0.28144770005545267,6.312507925387218e-58,0.7185522999453084,2.580197762591656e-15,2
2022-05-19,0.5357160953601864,7.141768173826265e-52,0.464283904640363,7.092815120004877e-14,0
2022-05-20,0.6635990093591532,2.3731754403656853e-51,0.3364009906399956,2.938459685909542e-14,0
2022-05-23,0.7456081016471888,4.070914812042167e-52,0.25439189835362597,6.9883850663343646e-15,0
2022-05-24,0.8661215015487327,1.1302828533495727e-51,0.13387849845107974,1.9627807414920932e-13,0
2022-05-25,0.9315901625555805,1.5041606770585653e-48,0.06840983744429273,2.2482533672439763e-13,0
2022-05-26,0.962698293725287,4.836374944156615e-48,0.037301706274784206,2.328921389246869e-13,0
2022-05-27,0.9871454225583824,1.6986583249719982e-43,0.012854577421314827,2.0486164134700557e-11,0
2022-05-31,0.9990548288980486,5.089178302647153e-37,0.0009451636502595308,7.452048063567503e-09,0
2022-06-01,0.9998878556074912,7.330442945948043e-33,0.0001121089444949629,3.54481992931331e-08,0
2022-06-02,0.9998754015246478,3.352604378898548e-33,0.00012459524983307122,3.2248880831076888e-09,0
2022-06-03,0.9999282010523309,1.0360089600660554e-30,7.11121597751722e-05,6.867873643243499e-07,0
2022-06-06,0.999944193570809,6.884023268827538e-30,5.576583962616427e-05,4.0588897128093746e-08,0
2022-06-07,0.9997557332582852,6.594733203095964e-29,0.0002440705470533598,1.961943136592764e-07,0
2022-06-08,0.9961666455509028,1.936014306456222e-26,0.00382971687602798,3.6375739719868927e-06,0
2022-06-09,0.9231212197172418,3.191365383762734e-32,0.07687874937556209,3.0907119760087346e-08,0
2022-06-10,0.550953442508319,1.4022736055631441e-40,0.4490465572799943,2.1177265768554213e-10,0
2022-06-13,0.0009293784239889953,1.5476609251070592e-71,0.9990706215765748,9.075180593929333e-23,2
2022-06-14,0.00010591867902690165,1.799565652874346e-74,0.9998940813202515,1.4918557220213776e-23,2
2022-06-15,0.00034468495811581894,2.7331321691196427e-65,0.9996553150415346,1.6502081832506663e-20,2
2022-06-16,8.230136716651901e-05,4.728886504408863e-74,0.9999176986329836,1.4373052149758691e-22,2
2022-06-17,0.0036631282902822426,3.23323822004197e-67,0.9963368717089328,2.784724772750133e-21,2
2022-06-21,0.018113961568818275,7.433639641886462e-68,0.981886038430785,4.120203210300496e-21,2
2022-06-22,0.3337721287370458,1.334373727857243e-56,0.6662278712629759,7.895922821014874e-15,2
2022-06-23,0.4591917194886587,1.661772062482302e-52,0.5408082805108487,6.813403438253308e-15,2
2022-06-24,0.568023379145292,2.3801814502512673e-52,0.43197662085526817,6.179388973546974e-15,2
